,Page,Title,City,Tag,Link,Logo
0,itviec,Chuyên Viên Tester (MỚI),Hà Nội,Chuyên Viên Tester (MỚI),https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-tester.35BAE4A4.html,https://images.careerbuilder.vn/employer_folders/lot3/237403/155x155/152324logo_pti_15082018_fix.png
1,itviec,Business Analyst - [Sharitek - Hoàng Mai],Hà Nội,Business Analyst - [Sharitek - Hoàng Mai],https://careerbuilder.vn/vi/tim-viec-lam/business-analyst-sharitek-hoang-mai.35BAE4F3.html,https://images.careerbuilder.vn/employer_folders/lot4/98094/155x155/90735logokarofinew.png
2,itviec,Flutter Developer - [Sharitek - Hoàng Mai],Hà Nội,Flutter Developer - [Sharitek - Hoàng Mai],https://careerbuilder.vn/vi/tim-viec-lam/flutter-developer-sharitek-hoang-mai.35BAE4EC.html,https://images.careerbuilder.vn/employer_folders/lot4/98094/155x155/90735logokarofinew.png
3,itviec,Backend Developer - [Sharitek - Hoàng Mai],Hà Nội,Backend Developer - [Sharitek - Hoàng Mai],https://careerbuilder.vn/vi/tim-viec-lam/backend-developer-sharitek-hoang-mai.35BAE4E9.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
4,itviec,Java Developer,Hà Nội,Java Developer,https://careerbuilder.vn/vi/tim-viec-lam/java-developer.35BAE4E2.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
5,itviec,Chuyên viên IT Support - IT Helpdesk,Hà Nội,Chuyên viên IT Support - IT Helpdesk,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-it-support-it-helpdesk.35BAE45B.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
6,itviec,Chuyên viên Phân tích nghiệp vụ (BA),Hà Nội,Chuyên viên Phân tích nghiệp vụ (BA),https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-nghiep-vu-ba.35BAE44C.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
7,itviec,THỰC TẬP SINH/ CỘNG TÁC VIÊN TRIỂN KHAI,Hồ Chí Minh,THỰC TẬP SINH/ CỘNG TÁC VIÊN TRIỂN KHAI,https://careerbuilder.vn/vi/tim-viec-lam/thuc-tap-sinh-cong-tac-vien-trien-khai.35BAE451.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
8,itviec,Chuyên Viên Quản Lý Dữ Liệu & Báo Cáo,Hà Nội,Chuyên Viên Quản Lý Dữ Liệu & Báo Cáo,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-du-lieu-bao-cao.35BAA922.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
9,itviec,Chuyên Viên Quản Trị Hạ Tầng - Quản Trị Triển Khai Hệ Thống An Toàn Bảo Mật,Hà Nội,Chuyên Viên Quản Trị Hạ Tầng - Quản Trị Triển Khai Hệ Thống An Toàn Bảo Mật,https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-ha-tang-quan-tri-trien-khai-he-thong-an-toan-bao-mat.35BAA92A.html,https://static.careerbuilder.vn/themes/kiemviecv32/images/graphics/blank.gif
